SKILLS,AVERAGE_RATING
Flask,2.823529
Python,2.769231
Swift,3.000000
Responsive Design,2.333333
Continuous Deployment,2.526316
NoSQL,2.833333
React,3.272727
MySQL,2.090909
Scrum,3.153846
Docker,2.909091
Kubernetes,2.300000
Data Analysis,2.636364
Node.js,3.727273
Google Cloud Platform,3.363636
Continuous Integration,2.888889
Documentation,3.500000
Collaboration,3.333333
Agile Methodologies,3.500000
Data Visualization,2.642857
Problem Solving,3.769231
Statistical Analysis,3.357143
Communication,2.736842
SQL,2.769231
Wireframing,3.583333
Interaction Design,3.769231
Penetration Testing,2.500000
CI/CD,3.444444
Ruby,3.235294
Azure,2.666667
Business Analysis,3.785714
Leadership,3.000000
Product Management,3.066667
User Stories,3.100000
Machine Learning,2.909091
C#,2.562500
Support,3.428571
CSS,3.416667
Data Science,2.625000
Information Security,2.400000
Git,2.923077
Accessibility,3.300000
Technical Writing,2.555556
Containerization,3.250000
Microservices,2.857143
Troubleshooting,3.250000
AWS,2.666667
DevOps,2.933333
Cryptography,3.000000
Network Security,3.000000
Java,3.272727
Test-Driven Development,2.846154
Cybersecurity,3.416667
PHP,3.100000
Vue.js,3.222222
Artificial Intelligence,3.500000
Behavior-Driven Development,3.166667
Agile Product Management,3.444444
GraphQL,3.250000
Requirements Analysis,2.153846
Django,2.909091
JavaScript,2.823529
PostgreSQL,2.857143
.NET,3.000000
Kotlin,3.181818
Prototyping,2.375000
Objective-C,3.000000
RESTful API,1.875000
HTML,3.000000
MongoDB,2.444444
UI/UX Design,3.111111
Angular,4.000000
User Research,2.250000
